"counterpartName","transactionTimeUtc","amount","transactionType","transactionId"
"Muffin Break (Miranda)","2024-06-10 03:44:35.035",-18.97,"CARD_TRANSACTION","ef8a119b-c2f1-451a-b9cc-59269e706cd0"
"Chemist Warehouse (Surry Hills)","2024-06-10 03:39:10.320",-7.69,"CARD_TRANSACTION","73b9c344-672d-4d0c-939b-ca90690d685a"
"Our Medical Home (Marsden Park)","2024-06-10 03:15:41.094",-1,"CARD_TRANSACTION","09828d21-761f-4b76-aad0-fbf9c658463a"
"Hayer Medical Pty Ltd","2024-06-10 03:15:38.712",-92.33,"CARD_TRANSACTION","71a8503a-afeb-45a0-a88a-f8824b35dcf0"
"Skechers","2024-06-10 02:56:12.677",-114.99,"CARD_TRANSACTION","3221f6e9-abe0-4001-9d12-d4bb8c078622"
"The Trustee For Singh","2024-06-10 02:54:02.925",-3.14,"CARD_TRANSACTION","d3261384-6d5f-4fd3-8501-4eda82343607"
"Costco (North Lakes)","2024-06-10 02:27:26.919",-18.97,"CARD_TRANSACTION","42040cdc-1b12-433d-834a-646ed400a4d5"
"Village Cinemas (Eastlands Shopping Centre)","2024-06-10 02:17:45.582",-99.5,"CARD_TRANSACTION","fd5a3376-176a-4cfb-91b9-346a166e3021"
"Cafe de la Fontaine","2024-06-10 01:56:43.458",-12.88,"CARD_TRANSACTION","144807a6-d12a-4aa1-8616-df251141a2fd"
"Milkrun","2024-06-10 01:33:49.023",-26.9,"CARD_TRANSACTION","4b6cc666-9ca2-41ab-af83-d3b910291b73"
"Zouki Cafe (Redcliffe Hospital)","2024-06-10 01:06:47.214",-13.53,"CARD_TRANSACTION","fe266748-7a55-4ea9-ae0e-be30a14ececb"
"Anvers Confectionery","2024-06-10 00:52:19.186",-17.5,"CARD_TRANSACTION","20e16101-fe14-4444-a68a-05eabd158d4b"
"Skip","2024-06-09 23:49:08.007",-5.61,"CARD_TRANSACTION","274a256b-183c-44a1-aaab-3e59c976032b"
